Name,Review,Overall Company Rating
Pradeep Gupta,Nice open space.,4.2
vignesh swaminathan,Good park to work,4.2
Bharat Kumar Dabbiru,Good place to work,4.2
Padmanabhan Parameswaran,Great ambience..In the lay out...,4.2
Rakesh Kumar,Good location,4.2
Velumani A S,Good,4.2
chillakuru priyanka,Love this place..bcoz I'm working here,4.2
kumar A,Business zone,4.2
Prasanna Bagi,Security for employees increased,4.2
Madesh Subramani,"Nice place for an office & relaxed ambience,An Aura will be remembered",4.2
Prem Prakash Pundir,This is a good IBM location to work in Bangalore.,4.2
Deepak Khandelwal,Great office,4.2
Shathiya Raman,"Having a good environment inside building, The only issue is towards the prolonging Metro work.. Once it got complete then it will become one of the most ideal place to work..",4.2
Sonali,IBM ofc location,4.2
Prakasam Mspt,"Simply superb. Silent place too good for work, but shortage of cafeteria.",4.2
Hussain Zaidi,Work,4.2
Nitish Jaiswal,"Seems to be like govt. Office. It has weary and teary look. It has become old now, not up to the mark of new office space.",4.2
Santosh Kumar,Work place is good.... But outside we won't get anything like hotels etc...,4.2
Ram pyluru,Nice building,4.2
Manas Sinha,Awesome place with good working environment both M & F,4.2
Akshay kumar,Techpark,4.2
Saurav Singh,Ibm building is there and other companies like synercheron and indus towers are located here,4.2
panchanam suresh,Process of interview is too late,4.2
YOGESHWARAN S,Nice place for work,4.2
Sabyasachi Rout,Good place for work. The atmosphere is very good. Buildings are well & properly maintained by authority. The food zone inside are pocket friendly. The garden also properly maintained. Lots of security & they are helping in nature. On average the place is a better place for IT people,4.2
Sohan Raj,SA3 8 Floor Cafeteria,4.2
Kyshore Kumar,Nice spacious office,4.2
Aditya srivastava,It's an IBM office near to dairy circle,4.2
utham sai,Well connected with public transport.,4.2
Krushnakanta Dash,Office space with plenty of parking space,4.2
NIlotpal Hazarika,Nice place,4.2
Dolly Sunkara,Good,4.2
Mounika,Nice environment to work.,4.2
Subhroneel Ganguly,Transport availability horrible during night,4.2
Anil R Kurup,"Sensible architecture, lot of place for walk around, vegetables meaning fully, good refreshment area..",4.2
Amit Ghosh,Is there Hadoop course offering within 2 weeks duration. Because i received brochure with this address.,4.2
Rohit Sadanandan,"I work here, so no comments.",4.2
Eric Vaz,IBM and a lot of other companies,4.2
