Name,Review,Overall Company Rating
Rakesh Pudipeddi,A good workplace. There is a mall very nearby bharatiya city mall. Very close to Thanisandra. Can see a lot of development going on.,4.5
Pritam Das,Good the security stuffs are really friendly,4.5
Sarvesh Singh,Everything is great. A vibing place but in wrong location.,4.5
Suresh Reddy,Place is good and you will enjoy the view by seeing from top above 15 floors . Look around all building construction and offices mostly inside the tech park. it's near to nagavara . Very frew companies located in side tech park as of now and very big parking space .,4.5
Balaji M,"Best place to work, cool atmosphere",4.5
Goutam G,Such a big campus but no proper cafeteria..,4.5
Manisha,It's personally my favourite place to hangout. Weekend live music concerts are the charms.,4.5
Arjun S,Work location is good but for good availability is difficult. No good restaurants nearby.  Parking in peak hours if little difficult,4.5
Syed Madar J S,"Quite far from the other places in city, yet - it appears to have all the basic amenities like hospitals, schools, restaurants etc.Travel from BTM to BCIT takes around 2 hours one way on average traffic days.",4.5
Ankur singh,Great Campus.,4.5
Ravi Peri,"Bothering drive from my place, super traffic on the way",4.5
Abubakar Nadaf,Best place,4.5
Jenith A.M,Good,4.5
Vinaya Rao,"Peaceful campus ,downside is that it is outside the Bangalore city",4.5
Sumit M,Amazing place but the problem is its toooooo far for most of the people.,4.5
Jatinder Singh,Location,4.5
Madhusudhanarao Talatam,Work place,4.5
Roopesh O,Reaching city and other parts of Bangalore is very difficult,4.5
Syed Saud,Wonderful place filled with residencial apartments and upcoming IT hub surrounded with good shops and resturants.,4.5
Nirmal Pandey,"Good place to work, to shopping as well in bartiya city Mall.",4.5
Ranjith Kumar,"bcit ofc:Bhartiya City is located in Thanisandra Main Road, Bengaluru - 560064. Bhartiya city includes IT companies, Bhartiya Mall, Bharthiya residential apartments, …More",4.5
Amit Patel,If any company is planning to come to BCIT SEZ PLEASE THINK TWICE BEFORE INVESTING!!!This SEZ owner is pathetic …More,4.5
Kumar Saurabh,Building  is very spacious  but far away from the city,4.5
Riyaz Mohammed,"It's a mini cityThey have school, college,It park, shopping mall, Jewellery shop,...etc",4.5
priyesh dubey,Hey its my dream company..and I reached now ...great place only food experience is bad.,4.5
Kompalli gowri sankar,Great place.I love the atmosphere and ambience.,4.5
Lavanya lavi,Good Environment..IBM office is BCIT. Ambience is really very nice...love to work in that Environment.. interiors are done really well and the furniture's are pro...we have buggy facility inside the bcit..and shuttle service for IBM …More,4.5
Akash Srivastava,It is very far from the main bangalore city. The area is not good at all.,4.5
Aman Singh,Beautiful place and well organised,4.5
akhilesh yerukonda,"The place where you love to work. Adjustable tables, comfortable seats, great looking ambience. Only discomfort not more items in the cafeteria.",4.5
musuku hemalatha,It's a wonderful place as well as you can see the grenary everywhere mainly the entrance of bcit mesmerizes you .,4.5
Venkatesh Babu,good,4.5
Arun Shiva,Good,4.5
Mayank Srivastava,any good  PG is located nearby,4.5
Ashish Sarangi,Good work place.1. Quality and variety of food can be improved.2. Parking place and facility is confusing.,4.5
Chakkaravarthy N,Fabulous work space,4.5
SATTWAMA BASU,I am currently working here as an Application developer. The office location is wonderful and we also get a view of Nandi Hills from the office. The office is very well designed keeping in mind every tiny detail. It's a great place to work. …More,4.5
Shankalpa Mishra,My company. True BIG Blue experience….Old is always gold..Culture is the best in IBM,4.5
vikas gupta,Wonderful place to explore the new opportunity.,4.5
Nayana Nambiar,"Infrastructure is good. But there is no much amenities around, especially good food courts. The IT park/building construction works are still in progress.But the Bharatiya city mall has started working a while back where people can have some shopping experiences.",4.5
Karthick Balaji,Well planned area and cool office setup with all amenities ! Connectivity also good to reach,4.5
