Name,Review,Overall Company Rating
Prathik G,"The entire Manyata tech park after the construction of Hilton hotel looks excellent. The roads the ambience is amazing. But the roads connecting to manyata from all around is pathetic. There are couple of food courts inside Manyata, I had …More",4.4
Balaji Mahi,"I was attended interview last 7/5/2016 for citrix Admin.I selected and,they took complete process as Bio-Metric and complete salary discussion, as over last discussion we will send offer.But, even I don't get any response.",4.4
Ramesh B,Very neatly maintained office work place with a day long open restaurant for visitors (of course subject to security checks) at affordable prices,4.4
Zameer Farooq,I was there in IBM for more than 5 years. I enjoyed working and campus is too good.,4.4
Abhishek Kumar,Ibm is good company as compare to other mnc.workculture is good if your performance is good then there is chance to ibm software labs.,4.4
Manoj Koorana,Peace location. But we have to walk a lot,4.4
deepak kumar,Best environment and maintaining clean surroundings and security,4.4
Boopathi M,A beautiful Tech park centered around IBM India Pvt Ltd.,4.4
V Lobo,Great place to work. Lovely office! They've renovated most of it after the pandemic to improve employee experience within the campus.,4.4
Kusum Kumar,my old office. too much traffic congestion. Worst thing is in order to go inside office while coming from Madiwala side we need to drive to Domuluru to take U turn n then come to ofc. Pay extra rates if we take cab or auto. Such a big tech park and no one bothers to just make an opening at the divider.,4.4
swathi shan,"You can get auto from Madiwala for 80 rupees.Had been there for Interview.Just right to temple,Good cafeteria & rest rooms.Decent IT Park from IBM",4.4
vasishta shastry,One of the oldest but well maintained repay - with respect to d block in particular - Ganesha temple on one side- subsidised cafeteria on the other side - what else needed ..,4.4
Dhruv Kalsy,"IBM is a nice place for work with a flexible work from home culture at times of need.EGL tech park is one of the finest tech parks that I came across in Bengaluru with a food court, lush greenery, multiple fountains, a temple and a church.",4.4
Anil Vajragiri,This is located near Damlur bridge. Need to head towards Koramangala.This place is very clean and easily accessible.,4.4
Sanjog Sah,A beautiful Ganesh Temple near this Office building,4.4
Manoj Sahu,Good place for working..,4.4
katta praveen,here they hire people for technical support they give jobs only good communication in English  speaking people and they preferred people come through consultancy and reference and their town north people and hr is worst of taking interviews,4.4
Suvadeep Guha,It is a very big beautiful tech park and well maintained area.,4.4
Ranvijay Chandel,Great place to work. Lot of greenery and water pools.,4.4
Partha Sarathi Samanta,"Nice building, I like this one better than IBM EGL C block. Large cubicles, nice view.",4.4
Varun Tv,Today I had a pathetic experience from IBM side. They scheduled the interview on 10.00 AM morning and I reached destination on 9.30 AM. The security persons are not allowed inside the reception area and they said that they didn't get any …More,4.4
harshith,outdated interiors at this point. nice place. heavy traffic in the morning to reach here.,4.4
Kallol Das,This was my workplace for almost 1.5 years. Great ambience and facility to work. Cafetaria is small but you get variety of refreshments. Office buses are also available all across the city.,4.4
Satish R,One of the best technology parks in Bangalore. Very well maintained. Has a food court which is within 3mins walk. Lots of other office space around. Very good breeze if interested in going for a walk around the park.,4.4
Yazhini Samyuktha Ramanikaran,Well I work here so five starssss,4.4
Dhananjay Gupta,One of the nice tech parks in bangalore with a lot of IT companies.,4.4
silpa mishra,"Very good stable organisation in IT Sector to work. Flexible timings, good work culture. Compensation is not that good but will have job satisfaction",4.4
Bhagya Parnika Restaurant,IT park. Huge traffic during office hours in inner ring road. Avoid morning 9 to 10.30 and evening 5.30 to 8,4.4
ganesh,One of my favourite company 😍😍. Even five stars is also not enough .,4.4
Kallol Das,"One of the best places to work, this block has a sprawling cafeteria. Recently Rahul Dravid, one of the ex cricket captains of India had visited this place and delivered a motivating speech. Parking facilities are also good. Greenery is well maintained along the place.",4.4
Rufus Christopher,This is where I work. One of the best workplaces in Bangalore. Well maintained. Perfect location. Lots of global corporate entities.,4.4
Vijay Sunitha,"It is a very nice official campus with serene environment, that has Ganesha temple, Church, cafeteria with multiple vendors provides a variety of food. Over all it is a Very wonderful campus.",4.4
